"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Avanhandava";"2013";"9";"78,01";"3";"26";"3";"26";3504404
"Avanhandava";"2014";"2";"17,21";"-";"-";"-";"-";3504404
"Avanhandava";"2015";"5";"42,71";"-";"-";"2";"17,08";3504404
"Avanhandava";"2016";"7";"59,39";"1";"8,48";"3";"25,45";3504404
"Avanhandava";"2017";"6";"50,56";"1";"8,43";"1";"8,43";3504404
"Avaré";"2013";"50";"59,26";"4";"4,74";"14";"16,59";3504503
"Avaré";"2014";"46";"54,2";"7";"8,25";"17";"20,03";3504503
"Avaré";"2015";"47";"55,05";"7";"8,2";"10";"11,71";3504503
"Avaré";"2016";"44";"51,28";"5";"5,83";"17";"19,81";3504503
"Avaré";"2017";"47";"54,5";"4";"4,64";"11";"12,76";3504503
"Bady Bassitt";"2013";"7";"46,09";"1";"6,58";"4";"26,34";3504602
"Bady Bassitt";"2014";"12";"77,94";"-";"-";"4";"25,98";3504602
"Bady Bassitt";"2015";"7";"44,85";"1";"6,41";"2";"12,81";3504602
"Bady Bassitt";"2016";"14";"88,89";"-";"-";"6";"38,1";3504602
"Bady Bassitt";"2017";"11";"69,21";"1";"6,29";"4";"25,17";3504602
"Balbinos";"2013";"4";"108,61";"-";"-";"-";"-";3504701
"Balbinos";"2014";"1";"27,11";"-";"-";"1";"27,11";3504701
"Balbinos";"2015";"1";"27,09";"-";"-";"-";"-";3504701
"Balbinos";"2016";"-";"-";"-";"-";"-";"-";3504701
"Balbinos";"2017";"3";"81,12";"2";"54,08";"-";"-";3504701
"Bálsamo";"2013";"7";"84,53";"-";"-";"4";"48,3";3504800
"Bálsamo";"2014";"6";"72,09";"1";"12,01";"2";"24,03";3504800
"Bálsamo";"2015";"6";"71,72";"-";"-";"2";"23,91";3504800
"Bálsamo";"2016";"4";"47,64";"-";"-";"1";"11,91";3504800
"Bálsamo";"2017";"4";"47,46";"-";"-";"1";"11,86";3504800
"Bananal";"2013";"8";"77,36";"-";"-";"4";"38,68";3504909
"Bananal";"2014";"3";"28,9";"-";"-";"-";"-";3504909
"Bananal";"2015";"3";"28,78";"1";"9,59";"1";"9,59";3504909
"Bananal";"2016";"4";"38,21";"-";"-";"-";"-";3504909
"Bananal";"2017";"1";"9,51";"-";"-";"-";"-";3504909
"Barão de Antonina";"2013";"4";"125,27";"-";"-";"4";"125,27";3505005
"Barão de Antonina";"2014";"3";"93,17";"-";"-";"1";"31,06";3505005
"Barão de Antonina";"2015";"1";"30,8";"-";"-";"1";"30,8";3505005
"Barão de Antonina";"2016";"2";"61,09";"-";"-";"1";"30,54";3505005
"Barão de Antonina";"2017";"1";"30,29";"-";"-";"-";"-";3505005
"Barbosa";"2013";"2";"29,44";"-";"-";"1";"14,72";3505104
"Barbosa";"2014";"6";"87,43";"3";"43,71";"3";"43,71";3505104
"Barbosa";"2015";"2";"28,84";"-";"-";"1";"14,42";3505104
"Barbosa";"2016";"4";"57,13";"-";"-";"2";"28,56";3505104
"Barbosa";"2017";"4";"56,56";"1";"14,14";"-";"-";3505104
"Bariri";"2013";"18";"55,66";"-";"-";"8";"24,74";3505203
"Bariri";"2014";"15";"46";"1";"3,07";"7";"21,47";3505203
"Bariri";"2015";"26";"79,09";"2";"6,08";"5";"15,21";3505203
"Bariri";"2016";"11";"33,24";"1";"3,02";"-";"-";3505203
"Bariri";"2017";"20";"60,03";"1";"3";"2";"6";3505203
"Barra Bonita";"2013";"20";"56,93";"-";"-";"5";"14,23";3505302
"Barra Bonita";"2014";"13";"37,04";"1";"2,85";"4";"11,4";3505302
"Barra Bonita";"2015";"20";"57,05";"-";"-";"6";"17,11";3505302
"Barra Bonita";"2016";"20";"57,1";"2";"5,71";"5";"14,27";3505302
"Barra Bonita";"2017";"19";"54,28";"-";"-";"9";"25,71";3505302
"Barra do Chapéu";"2013";"-";"-";"-";"-";"-";"-";3505351
"Barra do Chapéu";"2014";"3";"56,05";"-";"-";"2";"37,37";3505351
"Barra do Chapéu";"2015";"2";"37,17";"-";"-";"-";"-";3505351
"Barra do Chapéu";"2016";"7";"129,41";"1";"18,49";"5";"92,44";3505351
"Barra do Chapéu";"2017";"-";"-";"-";"-";"-";"-";3505351
"Barra do Turvo";"2013";"13";"169,09";"2";"26,01";"7";"91,05";3505401
"Barra do Turvo";"2014";"9";"117,28";"4";"52,12";"4";"52,12";3505401
"Barra do Turvo";"2015";"8";"104,45";"6";"78,34";"-";"-";3505401
"Barra do Turvo";"2016";"10";"130,46";"4";"52,19";"4";"52,19";3505401
"Barra do Turvo";"2017";"8";"104,3";"-";"-";"3";"39,11";3505401
"Barretos";"2013";"106";"92,96";"15";"13,15";"38";"33,33";3505500
"Barretos";"2014";"76";"66,26";"10";"8,72";"31";"27,03";3505500
"Barretos";"2015";"84";"72,8";"7";"6,07";"18";"15,6";3505500
"Barretos";"2016";"103";"88,86";"9";"7,76";"26";"22,43";3505500
"Barretos";"2017";"78";"66,99";"6";"5,15";"17";"14,6";3505500
"Barrinha";"2013";"22";"74,21";"11";"37,11";"3";"10,12";3505609
"Barrinha";"2014";"21";"69,88";"4";"13,31";"6";"19,97";3505609
"Barrinha";"2015";"18";"59,09";"5";"16,41";"5";"16,41";3505609
