"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Bebedouro";"2015";"53";"70,95";"6";"8,03";"19";"25,43";3506102
"Bebedouro";"2016";"41";"54,96";"7";"9,38";"10";"13,41";3506102
"Bebedouro";"2017";"57";"76,53";"9";"12,08";"15";"20,14";3506102
"Bento de Abreu";"2013";"-";"-";"-";"-";"-";"-";3506201
"Bento de Abreu";"2014";"1";"35,91";"-";"-";"1";"35,91";3506201
"Bento de Abreu";"2015";"3";"106,61";"1";"35,54";"1";"35,54";3506201
"Bento de Abreu";"2016";"1";"35,21";"1";"35,21";"-";"-";3506201
"Bento de Abreu";"2017";"-";"-";"-";"-";"-";"-";3506201
"Bernardino de Campos";"2013";"10";"92,83";"-";"-";"3";"27,85";3506300
"Bernardino de Campos";"2014";"9";"83,56";"-";"-";"6";"55,71";3506300
"Bernardino de Campos";"2015";"14";"129,99";"1";"9,29";"2";"18,57";3506300
"Bernardino de Campos";"2016";"7";"64,98";"-";"-";"4";"37,13";3506300
"Bernardino de Campos";"2017";"7";"64,95";"-";"-";"1";"9,28";3506300
"Bertioga";"2013";"38";"72,76";"9";"17,23";"14";"26,81";3506359
"Bertioga";"2014";"35";"64,92";"7";"12,98";"18";"33,39";3506359
"Bertioga";"2015";"42";"75,46";"7";"12,58";"13";"23,36";3506359
"Bertioga";"2016";"41";"71,79";"10";"17,51";"10";"17,51";3506359
"Bertioga";"2017";"41";"69,97";"8";"13,65";"10";"17,07";3506359
"Bilac";"2013";"5";"68,55";"-";"-";"1";"13,71";3506409
"Bilac";"2014";"3";"40,64";"-";"-";"2";"27,1";3506409
"Bilac";"2015";"7";"93,72";"-";"-";"1";"13,39";3506409
"Bilac";"2016";"4";"53,07";"2";"26,54";"2";"26,54";3506409
"Bilac";"2017";"1";"13,15";"-";"-";"1";"13,15";3506409
"Birigui";"2013";"51";"45,26";"6";"5,32";"20";"17,75";3506508
"Birigui";"2014";"56";"49,09";"12";"10,52";"25";"21,91";3506508
"Birigui";"2015";"63";"54,55";"14";"12,12";"16";"13,85";3506508
"Birigui";"2016";"69";"59,16";"12";"10,29";"26";"22,29";3506508
"Birigui";"2017";"58";"49,24";"7";"5,94";"14";"11,89";3506508
"Biritiba Mirim";"2013";"15";"50,55";"-";"-";"7";"23,59";3506607
"Biritiba Mirim";"2014";"22";"73,18";"6";"19,96";"9";"29,94";3506607
"Biritiba Mirim";"2015";"15";"49,25";"2";"6,57";"7";"22,98";3506607
"Biritiba Mirim";"2016";"16";"51,91";"3";"9,73";"6";"19,47";3506607
"Biritiba Mirim";"2017";"16";"51,29";"-";"-";"4";"12,82";3506607
"Boa Esperança do Sul";"2013";"4";"28,73";"1";"7,18";"-";"-";3506706
"Boa Esperança do Sul";"2014";"9";"64,18";"-";"-";"6";"42,79";3506706
"Boa Esperança do Sul";"2015";"6";"42,49";"-";"-";"3";"21,25";3506706
"Boa Esperança do Sul";"2016";"6";"42,22";"-";"-";"2";"14,07";3506706
"Boa Esperança do Sul";"2017";"6";"41,95";"2";"13,98";"2";"13,98";3506706
"Bocaina";"2013";"15";"133,33";"2";"17,78";"3";"26,67";3506805
"Bocaina";"2014";"3";"26,35";"-";"-";"-";"-";3506805
"Bocaina";"2015";"6";"52,05";"2";"17,35";"1";"8,68";3506805
"Bocaina";"2016";"6";"51,52";"1";"8,59";"1";"8,59";3506805
"Bocaina";"2017";"1";"8,5";"-";"-";"-";"-";3506805
"Bofete";"2013";"8";"79,55";"2";"19,89";"2";"19,89";3506904
"Bofete";"2014";"10";"97,9";"2";"19,58";"5";"48,95";3506904
"Bofete";"2015";"7";"67,46";"-";"-";"1";"9,64";3506904
"Bofete";"2016";"3";"28,54";"-";"-";"2";"19,03";3506904
"Bofete";"2017";"5";"46,94";"1";"9,39";"-";"-";3506904
"Boituva";"2013";"24";"46,92";"1";"1,96";"12";"23,46";3507001
"Boituva";"2014";"31";"59,41";"4";"7,67";"14";"26,83";3507001
"Boituva";"2015";"28";"52,6";"1";"1,88";"8";"15,03";3507001
"Boituva";"2016";"19";"35,17";"4";"7,41";"1";"1,85";3507001
"Boituva";"2017";"31";"56,55";"8";"14,59";"5";"9,12";3507001
"Bom Jesus dos Perdões";"2013";"12";"56,88";"2";"9,48";"8";"37,92";3507100
"Bom Jesus dos Perdões";"2014";"14";"64,8";"1";"4,63";"7";"32,4";3507100
"Bom Jesus dos Perdões";"2015";"15";"67,8";"3";"13,56";"6";"27,12";3507100
"Bom Jesus dos Perdões";"2016";"12";"53,24";"1";"4,44";"3";"13,31";3507100
"Bom Jesus dos Perdões";"2017";"6";"26,13";"-";"-";"4";"17,42";3507100
"Bom Sucesso de Itararé";"2013";"-";"-";"-";"-";"-";"-";3507159
"Bom Sucesso de Itararé";"2014";"2";"54,41";"-";"-";"1";"27,2";3507159
"Bom Sucesso de Itararé";"2015";"4";"108,02";"1";"27,01";"1";"27,01";3507159
"Bom Sucesso de Itararé";"2016";"1";"26,78";"1";"26,78";"-";"-";3507159
"Bom Sucesso de Itararé";"2017";"3";"79,66";"1";"26,55";"1";"26,55";3507159
"Borá";"2013";"-";"-";"-";"-";"-";"-";3507209
"Borá";"2014";"1";"123,76";"-";"-";"1";"123,76";3507209
"Borá";"2015";"-";"-";"-";"-";"-";"-";3507209
"Borá";"2016";"-";"-";"-";"-";"-";"-";3507209
"Borá";"2017";"-";"-";"-";"-";"-";"-";3507209
"Boracéia";"2013";"3";"67,93";"1";"22,64";"1";"22,64";3507308
"Boracéia";"2014";"6";"134,29";"2";"44,76";"3";"67,14";3507308
"Boracéia";"2015";"4";"88,48";"-";"-";"-";"-";3507308
"Boracéia";"2016";"1";"21,89";"-";"-";"-";"-";3507308
"Boracéia";"2017";"2";"43,34";"-";"-";"-";"-";3507308
"Borborema";"2013";"5";"33,8";"-";"-";"3";"20,28";3507407
"Borborema";"2014";"31";"208,29";"-";"-";"22";"147,82";3507407
"Borborema";"2015";"16";"106,84";"-";"-";"7";"46,74";3507407
"Borborema";"2016";"8";"53,17";"2";"13,29";"3";"19,94";3507407
"Borborema";"2017";"7";"46,31";"-";"-";"3";"19,85";3507407
"Borebi";"2013";"-";"-";"-";"-";"-";"-";3507456
"Borebi";"2014";"2";"82,88";"1";"41,44";"1";"41,44";3507456
"Borebi";"2015";"1";"40,92";"-";"-";"1";"40,92";3507456
"Borebi";"2016";"2";"80,97";"-";"-";"1";"40,49";3507456
"Borebi";"2017";"-";"-";"-";"-";"-";"-";3507456
"Botucatu";"2013";"72";"54,66";"8";"6,07";"26";"19,74";3507506
"Botucatu";"2014";"68";"51,02";"11";"8,25";"15";"11,25";3507506
"Botucatu";"2015";"86";"63,77";"6";"4,45";"18";"13,35";3507506
"Botucatu";"2016";"90";"66,13";"5";"3,67";"29";"21,31";3507506
"Botucatu";"2017";"71";"51,7";"6";"4,37";"17";"12,38";3507506
"Bragança Paulista";"2013";"80";"52,53";"9";"5,91";"31";"20,36";3507605
"Bragança Paulista";"2014";"99";"64,18";"16";"10,37";"36";"23,34";3507605
"Bragança Paulista";"2015";"84";"53,76";"10";"6,4";"30";"19,2";3507605
"Bragança Paulista";"2016";"100";"63,39";"14";"8,87";"28";"17,75";3507605
"Bragança Paulista";"2017";"88";"55,24";"13";"8,16";"28";"17,58";3507605
"Braúna";"2013";"3";"57,85";"-";"-";"1";"19,28";3507704
"Braúna";"2014";"9";"171,62";"3";"57,21";"2";"38,14";3507704
"Braúna";"2015";"3";"56,56";"-";"-";"1";"18,85";3507704
"Braúna";"2016";"4";"74,72";"-";"-";"1";"18,68";3507704
"Braúna";"2017";"2";"37,02";"-";"-";"-";"-";3507704
"Brejo Alegre";"2013";"1";"37,97";"1";"37,97";"-";"-";3507753
"Brejo Alegre";"2014";"2";"75,3";"-";"-";"1";"37,65";3507753
"Brejo Alegre";"2015";"2";"74,71";"1";"37,36";"-";"-";3507753
"Brejo Alegre";"2016";"2";"74,21";"-";"-";"1";"37,11";3507753
"Brejo Alegre";"2017";"2";"73,72";"2";"73,72";"-";"-";3507753
"Brodowski";"2013";"5";"22,71";"-";"-";"4";"18,16";3507803
"Brodowski";"2014";"12";"53,69";"1";"4,47";"8";"35,8";3507803
"Brodowski";"2015";"9";"39,68";"2";"8,82";"2";"8,82";3507803
"Brodowski";"2016";"12";"52,34";"2";"8,72";"4";"17,45";3507803
"Brodowski";"2017";"9";"38,83";"2";"8,63";"2";"8,63";3507803
"Brotas";"2013";"13";"58,32";"5";"22,43";"4";"17,94";3507902
"Brotas";"2014";"16";"70,98";"2";"8,87";"6";"26,62";3507902
"Brotas";"2015";"13";"57,03";"-";"-";"7";"30,71";3507902
"Brotas";"2016";"15";"65,21";"1";"4,35";"5";"21,74";3507902
"Brotas";"2017";"11";"47,39";"-";"-";"1";"4,31";3507902
"Buri";"2013";"17";"90,16";"3";"15,91";"6";"31,82";3508009
"Buri";"2014";"11";"58,03";"3";"15,83";"3";"15,83";3508009
"Buri";"2015";"14";"73,46";"-";"-";"10";"52,47";3508009
"Buri";"2016";"10";"52,13";"2";"10,43";"1";"5,21";3508009
"Buri";"2017";"11";"56,98";"3";"15,54";"3";"15,54";3508009
"Buritama";"2013";"6";"38";"1";"6,33";"2";"12,67";3508108
"Buritama";"2014";"12";"75,37";"4";"25,12";"6";"37,69";3508108
"Buritama";"2015";"12";"74,75";"-";"-";"7";"43,61";3508108
"Buritama";"2016";"12";"74,26";"1";"6,19";"4";"24,75";3508108
"Buritama";"2017";"11";"67,62";"2";"12,29";"4";"24,59";3508108
"Buritizal";"2013";"1";"24,2";"-";"-";"1";"24,2";3508207
"Buritizal";"2014";"9";"216,35";"2";"48,08";"2";"48,08";3508207
"Buritizal";"2015";"6";"143,27";"1";"23,88";"1";"23,88";3508207
"Buritizal";"2016";"4";"94,99";"1";"23,75";"-";"-";3508207
"Buritizal";"2017";"3";"70,82";"-";"-";"1";"23,61";3508207
"Cabrália Paulista";"2013";"6";"138,25";"-";"-";"2";"46,08";3508306
"Cabrália Paulista";"2014";"4";"92,36";"-";"-";"3";"69,27";3508306
"Cabrália Paulista";"2015";"2";"46,27";"-";"-";"2";"46,27";3508306
"Cabrália Paulista";"2016";"2";"46,31";"1";"23,15";"1";"23,15";3508306
"Cabrália Paulista";"2017";"2";"46,33";"-";"-";"-";"-";3508306
"Cabreúva";"2013";"26";"59,23";"11";"25,06";"8";"18,22";3508405
"Cabreúva";"2014";"27";"60,38";"7";"15,65";"12";"26,83";3508405
"Cabreúva";"2015";"20";"43,9";"3";"6,59";"6";"13,17";3508405
"Cabreúva";"2016";"22";"47,51";"4";"8,64";"8";"17,28";3508405
"Cabreúva";"2017";"27";"57,36";"1";"2,12";"10";"21,25";3508405
"Cachoeira Paulista";"2013";"20";"65,03";"6";"19,51";"5";"16,26";3508603
"Cachoeira Paulista";"2014";"29";"93,58";"4";"12,91";"8";"25,82";3508603
"Cachoeira Paulista";"2015";"21";"67,25";"4";"12,81";"6";"19,22";3508603
"Cachoeira Paulista";"2016";"11";"35,01";"-";"-";"4";"12,73";3508603
"Cachoeira Paulista";"2017";"22";"69,57";"4";"12,65";"6";"18,97";3508603
"Caconde";"2013";"7";"37,58";"-";"-";"4";"21,48";3508702
"Caconde";"2014";"10";"53,6";"1";"5,36";"2";"10,72";3508702
"Caconde";"2015";"6";"32,11";"-";"-";"3";"16,06";3508702
"Caconde";"2016";"7";"37,4";"2";"10,68";"-";"-";3508702
"Caconde";"2017";"9";"47,99";"-";"-";"4";"21,33";3508702
"Cafelândia";"2013";"15";"89,28";"2";"11,9";"4";"23,81";3508801
"Cafelândia";"2014";"7";"41,49";"2";"11,85";"1";"5,93";3508801
"Cafelândia";"2015";"7";"41,32";"1";"5,9";"1";"5,9";3508801
"Cafelândia";"2016";"13";"76,47";"-";"-";"4";"23,53";3508801
"Cafelândia";"2017";"9";"52,75";"1";"5,86";"2";"11,72";3508801
"Caiabu";"2013";"2";"48,96";"-";"-";"-";"-";3508900
"Caiabu";"2014";"3";"73,35";"-";"-";"1";"24,45";3508900
"Caiabu";"2015";"2";"48,85";"-";"-";"1";"24,43";3508900
"Caiabu";"2016";"2";"48,84";"-";"-";"1";"24,42";3508900
"Caiabu";"2017";"5";"122,01";"1";"24,4";"2";"48,8";3508900
"Caieiras";"2013";"47";"51,84";"12";"13,23";"15";"16,54";3509007
"Caieiras";"2014";"41";"44,5";"6";"6,51";"18";"19,54";3509007
"Caieiras";"2015";"56";"59,8";"4";"4,27";"22";"23,49";3509007
"Caieiras";"2016";"32";"33,69";"4";"4,21";"6";"6,32";3509007
"Caieiras";"2017";"52";"53,96";"4";"4,15";"10";"10,38";3509007
"Caiuá";"2013";"2";"38,41";"1";"19,2";"1";"19,2";3509106
"Caiuá";"2014";"-";"-";"-";"-";"-";"-";3509106
"Caiuá";"2015";"9";"168,89";"-";"-";"5";"93,83";3509106
"Caiuá";"2016";"1";"18,58";"-";"-";"1";"18,58";3509106
"Caiuá";"2017";"8";"147,19";"4";"73,6";"1";"18,4";3509106
"Cajamar";"2013";"37";"54,32";"15";"22,02";"10";"14,68";3509205
"Cajamar";"2014";"50";"71,89";"16";"23,01";"16";"23,01";3509205
"Cajamar";"2015";"39";"54,92";"11";"15,49";"6";"8,45";3509205
"Cajamar";"2016";"41";"56,72";"10";"13,83";"8";"11,07";3509205
"Cajamar";"2017";"44";"59,79";"10";"13,59";"12";"16,31";3509205
"Cajati";"2013";"22";"77,32";"4";"14,06";"13";"45,69";3509254
"Cajati";"2014";"23";"80,76";"3";"10,53";"15";"52,67";3509254
"Cajati";"2015";"11";"38,59";"2";"7,02";"2";"7,02";3509254
"Cajati";"2016";"13";"45,45";"-";"-";"8";"27,97";3509254
"Cajati";"2017";"27";"94,09";"6";"20,91";"6";"20,91";3509254
"Cajobi";"2013";"6";"60,73";"-";"-";"4";"40,49";3509304
"Cajobi";"2014";"5";"50,41";"-";"-";"2";"20,16";3509304
"Cajobi";"2015";"5";"50,21";"-";"-";"2";"20,08";3509304
"Cajobi";"2016";"5";"50,07";"-";"-";"4";"40,05";3509304
"Cajobi";"2017";"5";"49,92";"1";"9,98";"2";"19,97";3509304
"Cajuru";"2013";"24";"99,78";"1";"4,16";"12";"49,89";3509403
"Cajuru";"2014";"13";"53,51";"2";"8,23";"7";"28,81";3509403
"Cajuru";"2015";"15";"61,13";"-";"-";"4";"16,3";3509403
"Cajuru";"2016";"8";"32,31";"-";"-";"2";"8,08";3509403
"Cajuru";"2017";"17";"68,05";"2";"8,01";"5";"20,02";3509403
"Campina do Monte Alegre";"2013";"2";"35,47";"-";"-";"-";"-";3509452
"Campina do Monte Alegre";"2014";"8";"141,22";"-";"-";"3";"52,96";3509452
"Campina do Monte Alegre";"2015";"5";"87,87";"-";"-";"2";"35,15";3509452
"Campina do Monte Alegre";"2016";"6";"105,01";"-";"-";"2";"35";3509452
"Campina do Monte Alegre";"2017";"2";"34,86";"-";"-";"1";"17,43";3509452
"Campinas";"2013";"653";"58,72";"158";"14,21";"196";"17,63";3509502
"Campinas";"2014";"647";"57,6";"183";"16,29";"173";"15,4";3509502
"Campinas";"2015";"614";"54,12";"161";"14,19";"139";"12,25";3509502
"Campinas";"2016";"591";"51,72";"152";"13,3";"132";"11,55";3509502
"Campinas";"2017";"641";"55,7";"151";"13,12";"93";"8,08";3509502
"Campo Limpo Paulista";"2013";"58";"75,59";"17";"22,16";"20";"26,07";3509601
"Campo Limpo Paulista";"2014";"44";"56,65";"9";"11,59";"17";"21,89";3509601
"Campo Limpo Paulista";"2015";"52";"66,14";"10";"12,72";"18";"22,9";3509601
"Campo Limpo Paulista";"2016";"42";"52,87";"6";"7,55";"13";"16,36";3509601
"Campo Limpo Paulista";"2017";"42";"52,32";"7";"8,72";"12";"14,95";3509601
"Campos do Jordão";"2013";"32";"65,98";"6";"12,37";"8";"16,5";3509700
"Campos do Jordão";"2014";"25";"51,29";"4";"8,21";"3";"6,15";3509700
"Campos do Jordão";"2015";"29";"59,19";"4";"8,16";"7";"14,29";3509700
"Campos do Jordão";"2016";"35";"71,11";"9";"18,29";"5";"10,16";3509700
"Campos do Jordão";"2017";"31";"62,7";"5";"10,11";"4";"8,09";3509700
"Campos Novos Paulista";"2013";"4";"86,58";"2";"43,29";"-";"-";3509809
"Campos Novos Paulista";"2014";"6";"129,09";"1";"21,51";"1";"21,51";3509809
"Campos Novos Paulista";"2015";"1";"21,38";"-";"-";"-";"-";3509809
"Campos Novos Paulista";"2016";"3";"63,76";"-";"-";"1";"21,25";3509809
"Campos Novos Paulista";"2017";"6";"126,8";"1";"21,13";"1";"21,13";3509809
"Cananéia";"2013";"4";"32,74";"-";"-";"3";"24,56";3509908
"Cananéia";"2014";"10";"81,87";"2";"16,37";"6";"49,12";3509908
"Cananéia";"2015";"9";"73,7";"1";"8,19";"2";"16,38";3509908
"Cananéia";"2016";"7";"57,21";"-";"-";"3";"24,52";3509908
"Cananéia";"2017";"5";"40,77";"1";"8,15";"2";"16,31";3509908
"Canas";"2013";"4";"87,18";"2";"43,59";"2";"43,59";3509957
"Canas";"2014";"1";"21,46";"-";"-";"-";"-";3509957
"Canas";"2015";"1";"21,13";"-";"-";"1";"21,13";3509957
"Canas";"2016";"-";"-";"-";"-";"-";"-";3509957
"Canas";"2017";"4";"82,27";"1";"20,57";"2";"41,14";3509957
"Cândido Mota";"2013";"24";"80,18";"4";"13,36";"10";"33,41";3510005
"Cândido Mota";"2014";"11";"36,73";"1";"3,34";"7";"23,37";3510005
"Cândido Mota";"2015";"15";"50,06";"-";"-";"3";"10,01";3510005
"Cândido Mota";"2016";"16";"53,38";"1";"3,34";"5";"16,68";3510005
"Cândido Mota";"2017";"18";"60,03";"-";"-";"10";"33,35";3510005
"Cândido Rodrigues";"2013";"1";"37,41";"-";"-";"-";"-";3510104
"Cândido Rodrigues";"2014";"-";"-";"-";"-";"-";"-";3510104
"Cândido Rodrigues";"2015";"2";"74,77";"-";"-";"1";"37,38";3510104
"Cândido Rodrigues";"2016";"2";"74,77";"-";"-";"1";"37,38";3510104
"Cândido Rodrigues";"2017";"1";"37,38";"-";"-";"1";"37,38";3510104
"Canitar";"2013";"2";"43,99";"-";"-";"1";"22";3510153
"Canitar";"2014";"4";"86,77";"1";"21,69";"2";"43,38";3510153
"Canitar";"2015";"1";"21,39";"-";"-";"-";"-";3510153
"Canitar";"2016";"1";"21,11";"-";"-";"-";"-";3510153
"Canitar";"2017";"1";"20,84";"-";"-";"-";"-";3510153
"Capão Bonito";"2013";"27";"58,5";"7";"15,17";"12";"26";3510203
"Capão Bonito";"2014";"33";"71,52";"6";"13";"10";"21,67";3510203
"Capão Bonito";"2015";"29";"62,86";"5";"10,84";"9";"19,51";3510203
"Capão Bonito";"2016";"23";"49,79";"5";"10,82";"6";"12,99";3510203
"Capão Bonito";"2017";"21";"45,41";"5";"10,81";"6";"12,97";3510203
"Capela do Alto";"2013";"13";"70,69";"2";"10,88";"4";"21,75";3510302
"Capela do Alto";"2014";"12";"64,18";"-";"-";"7";"37,44";3510302
"Capela do Alto";"2015";"11";"57,88";"1";"5,26";"3";"15,78";3510302
"Capela do Alto";"2016";"14";"72,52";"3";"15,54";"4";"20,72";3510302
"Capela do Alto";"2017";"14";"71,41";"2";"10,2";"4";"20,4";3510302
"Capivari";"2013";"34";"67,66";"7";"13,93";"14";"27,86";3510401
"Capivari";"2014";"27";"53,1";"5";"9,83";"10";"19,67";3510401
"Capivari";"2015";"29";"56,37";"4";"7,77";"10";"19,44";3510401
"Capivari";"2016";"29";"55,78";"-";"-";"17";"32,7";3510401
"Capivari";"2017";"24";"45,68";"3";"5,71";"8";"15,23";3510401
"Caraguatatuba";"2013";"95";"89,99";"34";"32,21";"25";"23,68";3510500
"Caraguatatuba";"2014";"82";"76,44";"33";"30,76";"21";"19,58";3510500
"Caraguatatuba";"2015";"109";"100";"50";"45,87";"10";"9,17";3510500
"Caraguatatuba";"2016";"75";"67,94";"29";"26,27";"15";"13,59";3510500
"Caraguatatuba";"2017";"69";"61,72";"28";"25,05";"6";"5,37";3510500
"Carapicuíba";"2013";"205";"54,29";"69";"18,27";"47";"12,45";3510609
"Carapicuíba";"2014";"216";"56,78";"77";"20,24";"38";"9,99";3510609
"Carapicuíba";"2015";"189";"49,32";"53";"13,83";"30";"7,83";3510609
"Carapicuíba";"2016";"167";"43,32";"36";"9,34";"45";"11,67";3510609
"Carapicuíba";"2017";"160";"41,27";"39";"10,06";"27";"6,96";3510609
"Cardoso";"2013";"6";"50,93";"1";"8,49";"4";"33,95";3510708
"Cardoso";"2014";"13";"110,4";"1";"8,49";"6";"50,96";3510708
"Cardoso";"2015";"5";"42,49";"1";"8,5";"2";"17";3510708
"Cardoso";"2016";"13";"110,55";"3";"25,51";"-";"-";3510708
"Cardoso";"2017";"10";"85,11";"4";"34,05";"-";"-";3510708
"Casa Branca";"2013";"27";"94,22";"5";"17,45";"9";"31,41";3510807
"Casa Branca";"2014";"17";"59,07";"1";"3,47";"6";"20,85";3510807
"Casa Branca";"2015";"20";"69,2";"1";"3,46";"7";"24,22";3510807
"Casa Branca";"2016";"18";"62,04";"1";"3,45";"8";"27,57";3510807
"Casa Branca";"2017";"19";"65,24";"3";"10,3";"7";"24,04";3510807
"Cássia dos Coqueiros";"2013";"2";"77,34";"-";"-";"2";"77,34";3510906
"Cássia dos Coqueiros";"2014";"2";"77,85";"-";"-";"-";"-";3510906
"Cássia dos Coqueiros";"2015";"4";"156,68";"-";"-";"1";"39,17";3510906
"Cássia dos Coqueiros";"2016";"3";"118,02";"-";"-";"1";"39,34";3510906
"Cássia dos Coqueiros";"2017";"1";"39,54";"-";"-";"1";"39,54";3510906
"Castilho";"2013";"22";"116,87";"5";"26,56";"8";"42,5";3511003
"Castilho";"2014";"16";"83,7";"3";"15,69";"4";"20,92";3511003
"Castilho";"2015";"8";"41,21";"1";"5,15";"2";"10,3";3511003
"Castilho";"2016";"7";"35,59";"1";"5,08";"2";"10,17";3511003
"Castilho";"2017";"9";"45,16";"1";"5,02";"1";"5,02";3511003
"Catanduva";"2013";"97";"84,89";"18";"15,75";"28";"24,5";3511102
"Catanduva";"2014";"70";"60,99";"10";"8,71";"21";"18,3";3511102
"Catanduva";"2015";"88";"76,33";"11";"9,54";"30";"26,02";3511102
"Catanduva";"2016";"67";"57,92";"8";"6,92";"19";"16,43";3511102
"Catanduva";"2017";"78";"67,21";"6";"5,17";"19";"16,37";3511102
"Catiguá";"2013";"6";"82,7";"1";"13,78";"-";"-";3511201
"Catiguá";"2014";"8";"109,57";"1";"13,7";"3";"41,09";3511201
"Catiguá";"2015";"14";"190,58";"-";"-";"9";"122,52";3511201
"Catiguá";"2016";"8";"108,37";"1";"13,55";"3";"40,64";3511201
"Catiguá";"2017";"2";"26,96";"-";"-";"2";"26,96";3511201
"Caçapava";"2013";"41";"47,2";"4";"4,61";"15";"17,27";3508504
"Caçapava";"2014";"35";"39,95";"8";"9,13";"11";"12,56";3508504
"Caçapava";"2015";"59";"66,78";"14";"15,85";"16";"18,11";3508504
"Caçapava";"2016";"47";"52,86";"13";"14,62";"16";"18";3508504
"Caçapava";"2017";"57";"63,7";"13";"14,53";"13";"14,53";3508504
"Cedral";"2013";"5";"60,67";"-";"-";"3";"36,4";3511300
"Cedral";"2014";"6";"71,97";"-";"-";"3";"35,98";3511300
"Cedral";"2015";"6";"71,14";"-";"-";"4";"47,43";3511300
"Cedral";"2016";"7";"82,23";"-";"-";"2";"23,49";3511300
"Cedral";"2017";"10";"116,39";"-";"-";"6";"69,83";3511300
"Cerqueira César";"2013";"11";"61";"-";"-";"6";"33,27";3511409
"Cerqueira César";"2014";"9";"49,42";"1";"5,49";"4";"21,96";3511409
"Cerqueira César";"2015";"11";"59,81";"-";"-";"5";"27,19";3511409
"Cerqueira César";"2016";"8";"43,12";"-";"-";"2";"10,78";3511409
"Cerqueira César";"2017";"14";"74,8";"-";"-";"5";"26,72";3511409
"Cerquilho";"2013";"22";"52,66";"3";"7,18";"6";"14,36";3511508
"Cerquilho";"2014";"25";"58,74";"4";"9,4";"12";"28,2";3511508
"Cerquilho";"2015";"22";"50,74";"2";"4,61";"6";"13,84";3511508
"Cerquilho";"2016";"21";"47,78";"-";"-";"11";"25,03";3511508
"Cerquilho";"2017";"29";"65,09";"3";"6,73";"8";"17,96";3511508
"Cesário Lange";"2013";"6";"37,25";"-";"-";"2";"12,42";3511607
"Cesário Lange";"2014";"12";"73,57";"-";"-";"7";"42,92";3511607
"Cesário Lange";"2015";"9";"54,49";"2";"12,11";"5";"30,27";3511607
"Cesário Lange";"2016";"8";"48,02";"2";"12,01";"5";"30,01";3511607
"Cesário Lange";"2017";"15";"89,26";"-";"-";"8";"47,6";3511607
"Charqueada";"2013";"5";"31,96";"1";"6,39";"2";"12,78";3511706
"Charqueada";"2014";"11";"69,43";"1";"6,31";"5";"31,56";3511706
"Charqueada";"2015";"8";"49,87";"2";"12,47";"4";"24,93";3511706
"Charqueada";"2016";"11";"67,83";"2";"12,33";"-";"-";3511706
"Charqueada";"2017";"15";"91,5";"3";"18,3";"4";"24,4";3511706
"Chavantes";"2013";"5";"41,16";"3";"24,7";"2";"16,46";3557204
"Chavantes";"2014";"5";"41,13";"1";"8,23";"3";"24,68";3557204
"Chavantes";"2015";"8";"65,75";"-";"-";"4";"32,87";3557204
"Chavantes";"2016";"8";"65,69";"-";"-";"2";"16,42";3557204
"Chavantes";"2017";"10";"82,03";"2";"16,41";"2";"16,41";3557204
"Clementina";"2013";"2";"26,82";"-";"-";"2";"26,82";3511904
"Clementina";"2014";"2";"26,32";"-";"-";"-";"-";3511904
"Clementina";"2015";"7";"90,4";"3";"38,74";"4";"51,66";3511904
"Clementina";"2016";"6";"76,37";"2";"25,46";"2";"25,46";3511904
"Clementina";"2017";"4";"50,19";"1";"12,55";"-";"-";3511904
"Colina";"2013";"12";"68,75";"2";"11,46";"6";"34,37";3512001
"Colina";"2014";"12";"68,63";"1";"5,72";"5";"28,6";3512001
"Colina";"2015";"10";"57,09";"3";"17,13";"3";"17,13";3512001
"Colina";"2016";"12";"68,44";"-";"-";"2";"11,41";3512001
"Colina";"2017";"20";"113,96";"1";"5,7";"11";"62,68";3512001
"Colômbia";"2013";"6";"99,8";"2";"33,27";"4";"66,53";3512100
"Colômbia";"2014";"3";"49,84";"1";"16,61";"1";"16,61";3512100
"Colômbia";"2015";"6";"99,59";"1";"16,6";"4";"66,39";3512100
"Colômbia";"2016";"4";"66,35";"-";"-";"3";"49,76";3512100
"Colômbia";"2017";"4";"66,29";"1";"16,57";"1";"16,57";3512100
"Conchal";"2013";"20";"77,37";"6";"23,21";"6";"23,21";3512209
"Conchal";"2014";"16";"61,38";"3";"11,51";"6";"23,02";3512209
"Conchal";"2015";"13";"49,45";"2";"7,61";"3";"11,41";3512209
"Conchal";"2016";"10";"37,76";"-";"-";"3";"11,33";3512209
"Conchal";"2017";"7";"26,23";"-";"-";"1";"3,75";3512209
"Conchas";"2013";"17";"102,79";"4";"24,19";"5";"30,23";3512308
"Conchas";"2014";"13";"78,18";"-";"-";"6";"36,08";3512308
"Conchas";"2015";"10";"59,82";"1";"5,98";"5";"29,91";3512308
"Conchas";"2016";"12";"71,43";"1";"5,95";"5";"29,76";3512308
"Conchas";"2017";"6";"35,54";"1";"5,92";"3";"17,77";3512308
"Cordeirópolis";"2013";"12";"54,31";"3";"13,58";"2";"9,05";3512407
"Cordeirópolis";"2014";"14";"62,34";"-";"-";"7";"31,17";3512407
